timestamp,message,logStreamName
1649359264243,"2022-04-07 19:21:03,803 [INFO ] main org.pytorch.serve.servingsdk.impl.PluginsManager - Initializing plugins manager...",AllTraffic/i-06c6ed3f3df7c235b
1649359264243,"2022-04-07 19:21:04,170 [INFO ] main org.pytorch.serve.ModelServer - ",AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Torchserve version: 0.4.0,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,TS Home: /opt/conda/lib/python3.6/site-packages,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Current directory: /,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Temp directory: /home/model-server/tmp,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Number of GPUs: 0,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Number of CPUs: 1,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Max heap size: 767 M,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Python executable: /opt/conda/bin/python3.6,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Config file: /etc/sagemaker-ts.properties,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Inference address: http://0.0.0.0:8080,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Management address: http://0.0.0.0:8080,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Metrics address: http://127.0.0.1:8082,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Model Store: /.sagemaker/ts/models,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Initial Models: model.mar,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Log dir: /logs,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Metrics dir: /logs,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Netty threads: 0,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Netty client threads: 0,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Default workers per model: 1,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Blacklist Regex: N/A,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Maximum Response Size: 6553500,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Maximum Request Size: 6553500,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Prefer direct buffer: false,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Allowed Urls: [file://.*|http(s)?://.*],AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Custom python dependency for model allowed: false,AllTraffic/i-06c6ed3f3df7c235b
1649359264243,Metrics report format: prometheus,AllTraffic/i-06c6ed3f3df7c235b
